URL, Price, Title, Author, Language, Binding, Publisher, Genre, ISBN10, ISBN13(Double Click to view), Pages, Edition,,,,
https://www.flipkart.com/diary-young-girl/p/itmfbug4pey2us82?pid=9788172345198&lid=LSTBOK9788172345198CTT30X&marketplace=FLIPKART&srno=b_1_14&otracker=browse&fm=organic&iid=en_nkDk9trJfNqiHi69eFoihivUTlQwJBDASTma3ELffWoMUMNOHFGPqC6sKSSCEuuX,Rs: 143, The Diary Of A Young Girl,  Anne Frank,English,Paperback,FINGERPRINT,Literature & Fiction,8172345194,9.78817E+12, ,2014, ,,,
https://www.flipkart.com/internal-combustion-engines/p/itmevd3t5m8zc4yk?pid=9781259006197&lid=LSTBOK9781259006197AMQS3F&marketplace=FLIPKART&srno=b_1_15&otracker=browse&fm=organic&iid=b3c60d15-ce30-4722-a32b-deb392734dba.9781259006197.SEARCH,Rs: 369, Internal Combustion Engines,  Ganesan V.,English,Paperback,Mcgrawhill,Technology & Engineering,1259006190,9.78126E+12,768, , ,,,
https://www.flipkart.com/organic-chemistry/p/itmfbumfgxuqkhu9?pid=9780198728719&lid=LSTBOK978019872871996VQO9&marketplace=FLIPKART&srno=b_1_16&otracker=browse&fm=organic&iid=82500efd-3fac-4cf2-8994-717cf7282850.9780198728719.SEARCH,Rs: 1882, Organic Chemistry,  Clayden Jonathan,English,Paperback,SCHAND,Science,198728719,9.7802E+12,1264, , ,,,
https://www.flipkart.com/strengthsfinder-2-0/p/itmfc3waucakt96f?pid=9781595620156&lid=LSTBOK9781595620156JOTKUE&marketplace=FLIPKART&srno=b_1_17&otracker=browse&fm=organic&iid=e3b63d0d-5358-4570-8fd7-8a120b02eb1f.9781595620156.SEARCH,Rs: 866, StrengthsFinder 2.0,  Rath Tom,English,Hardcover,Simon,Business & Economics, 159562015X,9.7816E+12,192, , ,,,
https://www.flipkart.com/an-introduction-to-mechanics/p/itmevd3tfuzf3car?pid=9780070647787&lid=LSTBOK9780070647787OCKBQS&marketplace=FLIPKART&srno=b_1_18&otracker=browse&fm=organic&iid=b50e78eb-d551-42ae-b08c-dc2358586cca.9780070647787.SEARCH,Rs: 412, AN Introduction to Mechanics,  Kleppner David,English,Paperback,Mcgrawhill,Reference, 007064778X,9.78007E+12,572, , ,,,
https://www.flipkart.com/rich-dad-poor/p/itmfcymh2ec5yzgf?pid=9788183221191&lid=LSTBOK9788183221191OWPULK&marketplace=FLIPKART&srno=b_1_19&otracker=browse&fm=organic&iid=537037be-5011-4151-9ba6-0bce0fbbd70f.9788183221191.SEARCH,Rs: 145, Rich Dad Poor Dad,  Kiyosaki Robert T.,Telugu,Paperback,Manjul,Self-Help, 818322119X,9.78818E+12,223, , ,,,
https://www.flipkart.com/power-your-subconscious-mind/p/itmfawz5jdrcvuba?pid=9788192910963&lid=LSTBOK9788192910963MJHFLY&marketplace=FLIPKART&srno=b_1_20&otracker=browse&fm=organic&iid=en_nkDk9trJfNqiHi69eFoihivUTlQwJBDASTma3ELffWphwZvL7UxKCkZOus88cUhvlIS261LAKJdlcKKgCSeFWA%3D%3D,Rs: 94, The Power of Your Subconscious Mind,  Dr. Joseph Murphy,English,Paperback,Amazing Reads,Self-Help,8192910962,9.78819E+12,280,2018, ,,,
https://www.flipkart.com/oswaal-cbse-sample-question-paper-class-10-social-science-for-march-2019-exam/p/itmf96z5vhpegc8v?pid=9789388036672&lid=LSTBOK9789388036672HRDP9W&marketplace=FLIPKART&srno=b_1_21&otracker=browse&fm=organic&iid=d280d0c1-3bf6-4a1e-a25a-a659edb8eb34.9789388036672.SEARCH,Rs: 102, Oswaal CBSE Sample Question Paper Class 10 Social Science (For March 2019 Exam),  Panel of Experts,English,Paperback,Oswal,School Books,9388036670,9.78939E+12,184,2018, ,,,
https://www.flipkart.com/cbse-ugc-net-set-jrf/p/itmegbtswnhbvqzx?pid=9789332551732&lid=LSTBOK9789332551732XKJXQF&marketplace=FLIPKART&srno=b_1_22&otracker=browse&fm=organic&iid=c6fbddfa-d8c8-4831-8314-c9c6f4932932.9789332551732.SEARCH,Rs: 226, CBSE UGC NET/SET/JRF,  Madaan K.V.S,English,Paperback,Pearson,Education,9332551731,9.78933E+12,592, , ,,,
https://www.flipkart.com/certificate-physical-human-geography/p/itmczyt7kuqrvjyg?pid=9780195628166&lid=LSTBOK97801956281667J6AXD&marketplace=FLIPKART&srno=b_1_23&otracker=browse&fm=organic&iid=5d357051-3ca8-4d9f-a340-6350e06edd4b.9780195628166.SEARCH,Rs: 234, Certificate Physical and Human Geography,  Goh Cheng Leong,English,Paperback,OUP India,Juvenile Nonfiction,195628160,9.7802E+12, , , ,,,
https://www.flipkart.com/mandala-art-colouring-books-adults-tear-out-sheets-adult-book/p/itmf4x7rmsggqthv?pid=9789386538604&lid=LSTBOK9789386538604JSVMEZ&marketplace=FLIPKART&srno=b_1_24&otracker=browse&fm=organic&iid=en_nkDk9trJfNqiHi69eFoihivUTlQwJBDASTma3ELffWp1DE73SNAwE60o4sxmHM4Y,Rs: 188, Mandala Art: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book) - Colouring books for Adults with tear out sheets,  unknown,English,Paperback,Wonder House Books,Juvenile Nonfiction,9386538601,9.78939E+12, , , ,,,
