Name,URL,Author,Price,No. of Ratings,Rating,ISBN
The Forest of Enchantments,https://www.amazon.in/Forest-Enchantments-Chitra-Banerjee-Divakaruni/dp/9353025982?_encoding=UTF8&psc=1,Chitra Banerjee Divakaruni,373.00,8,4.6 out of 5 stars,9353025982
My First Library: Boxset of 10 Board Books for Kids,https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262?_encoding=UTF8&psc=1,Not Available,468.00,92,4.6 out of 5 stars,9387779262
"Don't Lose Your Mind, Lose Your Weight",https://www.amazon.in/Dont-Lose-Your-Mind-Weight/dp/8184001053?_encoding=UTF8&psc=1,Rujuta Diwekar,118.00,"1,003",4.5 out of 5 stars,8184001053
Brief Answers to the Big Questions,https://www.amazon.in/Brief-Answers-Questions-Stephen-Hawking/dp/1473695988?_encoding=UTF8&psc=1,Stephen Hawking,225.00,181,4.7 out of 5 stars,1473695988
Man's Search for Meaning,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244?_encoding=UTF8&psc=1,Viktor E Frankl,155.00,708,4.3 out of 5 stars,1846041244
Life is What You Make It,https://www.amazon.in/Life-What-Make-Preeti-Shenoy/dp/9380349300?_encoding=UTF8&psc=1,Preeti Shenoy,75.00,"2,859",4.0 out of 5 stars,9380349300
The Immortals of Meluha (Shiva Trilogy),https://www.amazon.in/Immortals-Meluha-Shiva-Trilogy/dp/9380658745?_encoding=UTF8&psc=1,Not Available,169.00,"2,631",4.6 out of 5 stars,9380658745
The Theory of Everything,https://www.amazon.in/Theory-Everything-Stephen-Hawking/dp/8179925919?_encoding=UTF8&psc=1,Stephen Hawking,111.00,531,4.5 out of 5 stars,8179925919
Oswaal CBSE Sample Question Paper Class 10 Science (For March 2019 Exam),https://www.amazon.in/Oswaal-Sample-Question-Paper-Science/dp/9388036662?_encoding=UTF8&psc=1,Oswaal Editorial Board,127.00,30,4.3 out of 5 stars,9388036662
Oswaal CBSE Sample Question Paper Class 10 Mathematics (For March 2019 Exam),https://www.amazon.in/Oswaal-Sample-Question-Paper-Mathematics/dp/9388036689?_encoding=UTF8&psc=1,Oswaal Editorial Board,127.00,42,4.4 out of 5 stars,9388036689
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",https://www.amazon.in/Three-Thousand-Stitches-Ordinary-Extraordinary/dp/0143440055?_encoding=UTF8&psc=1,Not Available,120.00,360,4.4 out of 5 stars,0143440055
