https://www.flipkart.com/commando-mossad/p/itmez4wj4rzhcjgc?pid=9789386867162&lid=LSTBOK9789386867162QKEIT0&marketplace=FLIPKART&srno=s_43_1702&otracker=categorytree%0A&fm=organic&iid=4bbeb638-7b91-43fd-9871-d91d3629928b.9789386867162.SEARCH&qH=7d8949bcbf85067f, Rs: 298, Commando - Mossad,  unknown,4.4,30,3,English,Paperback,Jaico,Biography & Autobiography,9386867168,9.78939E+12,384, 
https://www.flipkart.com/behold-i-shine/p/itmet2fhzmzukbyv?pid=9788129145710&lid=LSTBOK9788129145710WHFME6&marketplace=FLIPKART&srno=s_27_1076&otracker=categorytree%0A&fm=organic&iid=ddc9bd96-66ab-40fc-be8c-d116f1dc7835.9788129145710.SEARCH&qH=7d8949bcbf85067f, Rs: 112, BEHOLD- I SHINE,  Manecksha Freny,4.5,49,5,English,Paperback,Rupa,Fiction,8129145715,9.78813E+12,184, 
https://www.flipkart.com/corporate-guru-narayan-murthy/p/itmdxe8bbqs7rh7z?pid=9788173157684&lid=LSTBOK9788173157684TK4K3U&marketplace=FLIPKART&srno=s_11_412&otracker=categorytree%0A&fm=organic&iid=1e3d8b64-99e9-4643-9907-225f51fa1e47.9788173157684.SEARCH&qH=7d8949bcbf85067f, Rs: 147, Corporate Guru Narayan Murthy,  Chokkan N,4.1,10,0,Hindi,Book,Prabhat Prakashan,Business & Economics,8173157685,9.78817E+12,144, 
https://www.flipkart.com/byculla-to-bangkok/p/itmf3k6ukrssps9v?pid=9789351362258&lid=LSTBOK9789351362258OZYMOS&marketplace=FLIPKART&srno=s_27_1062&otracker=categorytree%0A&fm=organic&iid=95b430c5-dcf1-4f9b-81d4-58f3b502955b.9789351362258.SEARCH&qH=7d8949bcbf85067f, Rs: 176, BYCULLA TO BANGKOK,  Zaidi' and  ' S. Hussain,4.4,458,30,English,Paperback,Harper,Social Science,9351362256,9.78935E+12, , 
https://www.flipkart.com/cheats-how-scams-fraud-dark-side-corporate-world/p/itmedheb5jc9qx8r?pid=9789351500612&lid=LSTBOK9789351500612CV8S9A&marketplace=FLIPKART&srno=s_10_392&otracker=categorytree%0A&fm=organic&iid=0908fc26-9e44-4bc2-a553-e5db1b952160.9789351500612.SEARCH&qH=7d8949bcbf85067f, Rs: 360, Who Cheats and How?: Scams- Fraud and the Dark Side of the Corporate World - Scams- Fraud and the Dark Side of the Corporate World,  Robin Banerjee,4.6,11,2,English,Paperback,Sage Publisher,Professional,9351500616,9.78935E+12,336,1 & 2015
https://www.flipkart.com/little-black-book-stunning-success-tools-action-mastery/p/itmeq4z28g4qx7mc?pid=9788184959895&lid=LSTBOK97881849598958FR6SW&marketplace=FLIPKART&srno=s_5_181&otracker=categorytree%0A&fm=organic&iid=ef96b96c-0c36-4e23-9aca-1bfd7c3a1671.9788184959895.SEARCH&qH=7d8949bcbf85067f, Rs: 220, Little Black Book for Stunning Success + Tools for Action Mastery,  Sharma Robin,4.4,104,11,English,Paperback,Jaico,Self-Help,8184959893,9.78818E+12,288, 
https://www.flipkart.com/the-book-thief/p/itmfc5dfngzyyfaq?pid=9781909531611&lid=LSTBOK9781909531611JMRQRM&marketplace=FLIPKART&srno=s_15_598&otracker=categorytree%0A&fm=organic&iid=4350e7e9-4814-4ab3-b32b-f2feb4e3a0db.9781909531611.SEARCH&qH=7d8949bcbf85067f, Rs: 320, The Book Thief,  Zusak Markus,4.5,558,49,English,Paperback,Penguin,Juvenile Fiction,1909531618,9.78191E+12,624, 
https://www.flipkart.com/refreshing-mandala-book-3/p/itmezwwbbhv5bbxw?pid=9789350899175&lid=LSTBOK9789350899175QVV4KX&marketplace=FLIPKART&srno=s_2_74&otracker=categorytree%0A&fm=organic&iid=en_KFDsGYGsSgfDkoN6x%2BAfJ1UBffF2zh%2BXqGTQ9gFJZ7n%2BCbWbyiVC08dN3Dd4%2Bwci&qH=7d8949bcbf85067f, Rs: 237, Refreshing Mandala - Book 3,  Dreamland Publications,4.6,28,1,English,Paperback,Dreamland Publications,Arts & Photography and Design,9350899175,9.78935E+12, ,2016
https://www.flipkart.com/rejuvenate-yourself-floral-patterns/p/itmerhv9fhghggqr?pid=9789350899472&lid=LSTBOK9789350899472AYITFB&marketplace=FLIPKART&srno=s_19_735&otracker=categorytree%0A&fm=organic&iid=de901174-66e7-4377-a2bb-5522038ed51c.9789350899472.SEARCH&qH=7d8949bcbf85067f, Rs: 186, Rejuvenate Yourself- Floral Patterns,  unknown,4.4,22,2,English,Paperback,Dreamland Publications,Art,9350899477,9.78935E+12,64, 
https://www.flipkart.com/not-your-story/p/itmer38rne6yh7qg?pid=9789386224392&lid=LSTBOK9789386224392IKWIJU&marketplace=FLIPKART&srno=s_1_16&otracker=categorytree%0A&fm=organic&iid=9ac62967-2302-42a4-b429-5c653dcb29a7.9789386224392.SEARCH&qH=7d8949bcbf85067f, Rs: 125, This is Not Your Story,  Sharma Savi,4.3,5133,580,English,Paperback,Westland,Fiction,9386224399,9.78939E+12,226, 
