1,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5009.0,8172345666,75.0
11,Tell Me your Dreams,by Sidney Sheldon,4.4,160.0,8172234902,209.0
34,The Boy in the Striped Pyjamas (Definitions),by John Boyne,4.6,134.0,1862305277,350.0
324,"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",by Anil Lamba,4.5,156.0,9350294311,477.0
349,Mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340.0
352,My Story,by Kamala Das,4.5,42.0,8172238975,178.0
362,Inspiring Thoughts (Inspiring Thoughts Quotation Series),by A.P.J. Abdul Kalam,4.1,148.0,8170286840,120.0
364,12 Years a Slave,by Solomon Northup,4.5,41.0,8175994479,99.0
375,Headley And I,by S. Hussain Zaidi,3.5,14.0,9350295725,247.0
401,Making India Awesome: New Essays and Columns,by Chetan Bhagat,3.8,1188.0,8129137429,100.0
412,The Dirty Dozen: Hitmen of the Mumbai Underworld,by Gabriel Khan,4.2,54.0,9386850133,221.0
481,Commando,by Michael Bar-Zohar,3.7,15.0,9386867168,333.0
493,"Behold, I Shine: Narratives of Kashmir's Women and Children",by Freny Manecksha - Import,4.3,15.0,8129145715,106.0
514,Corporate Guru Narayan Murthy,by N Chokkan,4.1,4.0,8173157685,150.0
549,Byculla to Bangkok,by S. Hussain Zaidi,4.1,96.0,9351362256,192.0
597,"Who Cheats and How?: Scams, Frauds and the Dark Side of the Corporate World:...",by Robin Banerjee,3.5,17.0,9351500616,360.0
601,Little Black Book for Stunning Success + Tools for Action Mastery,by Robin Sharma,4.4,67.0,8184959893,220.0
916,The Book Thief (Definitions Young Adult),by Markus Zusak,4.5,87.0,1909531618,379.0
917,Refreshing Mandala - Colouring Book for Adults Book 3,by Dreamland Publications,4.4,36.0,9350899175,175.0
962,Rejuvenate Yourself - Floral Patterns,by Dreamland Publications,4.3,59.0,9350899477,140.0
981,This Is Not Your Story,by Savi Sharma,4.5,2177.0,9386224399,100.0
981,This Is Not Your Story,by Savi Sharma,4.5,2177.0,9386224399,100.0
991,IQ Tests Book-1 - Boost Your Intelligence,by Arihant Experts,3.8,19.0,9350945746,86.0
1021,The Perks of Being a Wallflower,by Stephen Chbosky,4.4,306.0,1451696191,186.0
1023,Great Stories for Children,by Ruskin Bond,4.4,217.0,8129118920,182.0
1102,Creative Doodle Colouring - Animals & Birds,by Dreamland Publications,4.7,11.0,9350897954,140.0
1130,"Coloring Mandalas 2: For Balance, Harmony, and Spiritual Well-Being (An Adult...",by Susanne F. Fincher,3.9,2.0,1590300866,610.0
1132,Sita: Warrior of Mithila (Ram Chandra),by Amish Tripathi,4.3,1817.0,9386224585,226.0
1136,How to Be an Adult in Relationships: The Five Keys to Mindful Loving,by David Richo,5.0,1.0,1570628122,689.0
1154,Eleven Minutes,by Paulo Coelho,4.2,234.0,8172235631,167.0
1174,The Animal Book: A Visual Encyclopedia of Life on Earth (Reference),by DK,4.8,19.0,1409323498,781.0
1,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5009.0,8172345666,75.0
1208,Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,by Amish Tripathi,4.1,4651.0,9385152149,240.0
1132,Sita: Warrior of Mithila (Ram Chandra),by Amish Tripathi,4.3,1817.0,9386224585,226.0
1218,The Rise of Sivagami: Book 1 of Baahubali - Before the Beginning,by Anand Neelakantan,4.1,793.0,9386224445,162.0
1221,Murder in a Minute,by Shouvik Bhattacharya,4.4,277.0,9386643723,188.0
1235,Alice’s Adventures in Wonderland,by Lewis Carroll,4.0,119.0,8175992980,89.0
1261,Harappa - Curse of the Blood River,by Vineet Bajpai,4.1,680.0,9352685482,185.0
1262,Harry Potter and the Philosopher's Stone,by J.K. Rowling,4.7,1097.0,1408855658,299.0
1271,Geronimo Stilton and the Kingdom of Fantasy #8 - The Hour of Magic,by Geronimo Stilton,4.6,329.0,9385887815,274.0
1023,Great Stories for Children,by Ruskin Bond,4.4,217.0,8129118920,182.0
1288,The Dragon of Fortune (Geronimo Stilton and the Kingdom of Fantasy: Special Edition...,by Geronimo Stilton,4.6,285.0,9352751183,510.0
1292,The Crab with Golden Claws (Tintin),by Herge,4.7,29.0,1405206209,279.0
1306,Suppandi - 3: The Laughter Never Ends,by Rajani Thindiath,4.7,59.0,9350853736,76.0
1308,The adventures of Tintin: King Ottokar's Sceptre,by Herge,4.6,32.0,1405206195,379.0
1315,Circe: The Sunday Times Bestseller,by Madeline Miller,4.3,47.0,1526603330,364.0
1320,Bloodline,by Sidney Sheldon,4.3,67.0,8172234864,280.0
1322,Geronimo Stilton #58: The Super Chef Contest,by Geronimo Stilton,4.2,66.0,9351033287,186.0
1330,The Jungle Book (First Stories),by Miriam Bos,4.4,71.0,1509808361,224.0
1338,Peppa Pig: Amazing Adventures Sticker Book,by NA,4.8,11.0,1409312135,194.0
1360,Swami and Friends,by R. K. Narayan,4.6,204.0,8185986002,114.0
1374,The Secret Of The Nagas (Shiva Trilogy-2),by Amish Tripathi - Abridged,4.6,1681.0,9381626340,244.0
1376,The Oath of the Vayuputras (Shiva Trilogy),by Amish Tripathi,4.4,1608.0,9382618341,282.0
